advise,search,remind,0,9
affect,extend,travel,9,0
amend,scare,waive,0,9
amount,signal,pledge,0,9
anger,click,grind,0,9
anger,swell,click,9,0
appeal,injure,obtain,0,9
applaud,install,cherish,0,9
ask,run,try,0,9
assume,record,forget,9,0
autograph,catalogue,redevelop,9,0
bail,exit,stud,9,0
beware,induct,drench,9,0
blacken,horrify,triumph,9,0
blanket,retrain,nourish,0,9
bother,assist,donate,9,0
braid,vomit,crest,0,9
brandish,theorize,redirect,0,9
bypass,excuse,ratify,9,0
chop,wipe,hunt,0,9
clean,quote,drink,0,9
compel,enlist,batter,9,0
confer,entice,strand,9,0
constrain,skyrocket,dissipate,0,9
cook,burn,jump,9,0
corrupt,deflate,implore,9,0
cost,earn,pick,9,0
cough,decry,widow,9,0
course,ingest,ration,0,9
cover,watch,break,9,0
damp,skew,ooze,0,9
decry,widow,rebut,0,9
detain,invade,unfold,9,0
diversify,overstate,privatize,0,9
dodge,stray,whisk,9,0
drain,label,haunt,0,9
dream,crash,trace,0,9
duel,mint,loop,0,9
dwell,incur,stamp,9,0
enable,cancel,submit,0,9
enable,inform,cancel,9,0
exist,sound,study,0,9
falsify,dissect,devalue,0,9
fast,bare,herd,0,9
feature,prevent,express,0,9
feign,chair,clasp,0,9
fit,tie,lie,9,0
flap,duel,mint,9,0
float,arise,coach,9,0
forgo,evict,shred,9,0
fulfill,convene,swallow,9,0
function,underlie,motivate,0,9
funnel,herald,thrust,0,9
garner,delete,dispel,0,9
gear,mask,plug,9,0
gnaw,bowl,pelt,0,9
goad,maim,tail,9,0
grind,slash,upset,9,0
grip,tout,blur,9,0
harass,rattle,verify,9,0
harm,fine,melt,0,9
harvest,shelter,refrain,9,0
hide,mark,cook,9,0
hinder,impede,sketch,9,0
hinder,sketch,lessen,0,9
hope,stop,kill,9,0
hurt,tend,sing,9,0
impose,demand,result,9,0
inform,cancel,praise,0,9
ingest,retake,orphan,9,0
instill,despair,refocus,0,9
kidnap,tailor,thwart,0,9
learn,stand,agree,0,9
lessen,attest,recede,0,9
letter,encode,fixate,9,0
list,fear,view,0,9
loathe,better,divest,0,9
long,bank,hike,0,9
mesh,wall,envy,9,0
minister,digitize,abdicate,0,9
misrepresent,disintegrate,congratulate,9,0
misspell,champion,override,0,9
name,draw,walk,9,0
narrow,soften,enlist,9,0
notch,verse,taper,0,9
oblige,ponder,hammer,9,0
oppress,preview,absolve,0,9
outrun,expend,behold,9,0
part,suck,lurk,0,9
placate,refocus,reprint,9,0
please,survey,reward,0,9
race,wrap,grab,0,9
rake,skim,teem,9,0
reassess,dissuade,catapult,9,0
reconstruct,appropriate,assassinate,9,0
redeem,insult,dazzle,0,9
red,gag,tan,0,9
reform,stroll,acquit,0,9
refresh,forsake,consign,0,9
refurbish,telephone,structure,0,9
reprimand,hamstring,legislate,0,9
rest,bury,wind,9,0
retell,squash,parody,0,9
revoke,addict,harden,0,9
reward,murder,derive,0,9
ride,jump,list,9,0
rust,dawn,foil,0,9
sadden,redeem,insult,0,9
salt,lick,toil,9,0
salt,wail,lick,0,9
save,cost,earn,0,9
scold,fence,repel,0,9
scorch,refund,rework,0,9
serve,allow,offer,0,9
shelter,prolong,migrate,0,9
shepherd,mistreat,obligate,0,9
shun,fish,fool,0,9
signal,detect,pledge,9,0
simplify,redesign,mobilize,9,0
skip,edge,tape,9,0
sneak,creep,blast,9,0
spur,chop,film,9,0
squash,foment,parody,9,0
stab,hint,bite,0,9
staff,crave,groom,0,9
stagger,mediate,torment,0,9
stay,read,join,0,9
stomp,befit,douse,0,9
string,fasten,reckon,9,0
tame,cull,word,9,0
throw,shoot,score,9,0
transcend,duplicate,culminate,0,9
travel,oppose,insist,0,9
tread,delve,group,9,0
trouble,distort,station,9,0
tutor,front,coast,9,0
veto,edge,defy,0,9
vet,oil,saw,0,9
whip,suit,stab,0,9
word,rail,code,0,9
wreak,scold,repel,9,0
wreck,probe,blaze,0,9
abort,party,cough,1,8
accept,manage,charge,8,1
accredit,overload,bequeath,1,8
achieve,predict,dismiss,8,1
adapt,trail,value,1,8
adapt,value,house,8,1
affect,emerge,extend,1,8
affirm,couple,circle,1,8
afflict,reunite,unravel,1,8
afford,review,engage,1,8
amass,fault,prize,1,8
ambush,streak,humble,8,1
appear,create,remain,8,1
appear,remain,become,1,8
appoint,confirm,finance,8,1
apprehend,fertilize,supersede,1,8
arise,crack,react,1,8
ascertain,spotlight,correlate,1,8
assault,clarify,trouble,1,8
assemble,restrict,prohibit,8,1
